date,portfolio,total_value,cumulative_return,drawdown
2018-04-27,フィルタB（出来高）,14679394.3215,0.4679394321500001,-0.043244504685883846
2018-05-31,フィルタB（出来高）,14852634.3215,0.48526343215000023,-0.03195328119409058
2018-06-29,フィルタB（出来高）,15066854.3215,0.5066854321500003,-0.01799111370152562
2018-07-31,フィルタB（出来高）,15106764.3215,0.5106764321500004,-0.015389908843770658
2018-08-31,フィルタB（出来高）,14931574.3215,0.4931574321500003,-0.026808227035454234
2018-09-28,フィルタB（出来高）,15359644.3215,0.5359644321500001,0.0
2018-10-31,フィルタB（出来高）,13922514.3215,0.39225143215000013,-0.09356531765441636
2018-11-30,フィルタB（出来高）,14133444.3215,0.41334443215000016,-0.07983257778199979
2018-12-28,フィルタB（出来高）,12606614.3215,0.26066143215000004,-0.17923787441785913
2019-01-31,フィルタB（出来高）,13556284.3215,0.35562843214999984,-0.11740896873996667
2019-02-28,フィルタB（出来高）,13903114.3215,0.39031143214999964,-0.09482836773512979
2019-03-29,フィルタB（出来高）,13748324.3215,0.3748324321499996,-0.10490607505438908
2019-04-26,フィルタB（出来高）,14135354.3215,0.41353543214999977,-0.07970822594415634
2019-05-31,フィルタB（出来高）,12933814.3215,0.2933814321499999,-0.1579352977988163
2019-06-28,フィルタB（出来高）,13532054.3215,0.3532054321499998,-0.11898647922737317
2019-07-31,フィルタB（出来高）,13774564.3215,0.3774564321499998,-0.10319770216171278
2019-08-30,フィルタB（出来高）,13273214.3215,0.32732143214999976,-0.1358384319537578
2019-09-30,フィルタB（出来高）,14181684.3215,0.41816843214999966,-0.07669188005552477
2019-10-31,フィルタB（出来高）,15326854.3215,0.5326854321499996,-0.0021348150591027344
2019-11-29,フィルタB（出来高）,16549314.3215,0.6549314321499997,0.0
2019-12-30,フィルタB（出来高）,16915314.3215,0.6915314321499997,0.0
2020-01-31,フィルタB（出来高）,15513521.9165,0.5513521916499997,-0.08287120052024505
2020-02-28,フィルタB（出来高）,13554721.9165,0.35547219164999966,-0.19867159079205288
2020-03-31,フィルタB（出来高）,12053421.9165,0.20534219164999978,-0.2874254839486105
2020-04-30,フィルタB（出来高）,12252761.9165,0.2252761916499999,-0.275640896549804
2020-05-29,フィルタB（出来高）,13484851.9165,0.3484851916499998,-0.20280216730230977
2020-06-30,フィルタB（出来高）,13311481.9165,0.33114819164999987,-0.21305145955339375
2020-07-31,フィルタB（出来高）,12431521.9165,0.2431521916499999,-0.26507295813598514
2020-08-31,フィルタB（出来高）,13566611.9165,0.35666119165,-0.19796867745718877
2020-09-30,フィルタB（出来高）,13334671.9165,0.33346719165000005,-0.2116805125192896
2020-10-30,フィルタB（出来高）,13048181.9165,0.3048181916499999,-0.22861723592595196
