date,total_value,peak,drawdown
2019-12-02,11447421.05263158,12700831.578947369,-0.09868728031898451
2019-12-03,11521315.789473685,12700831.578947369,-0.09286917806459422
2019-12-04,11403315.789473685,12700831.578947369,-0.10215990830273029
2019-12-05,11285736.842105264,12700831.578947369,-0.11141748696106926
2019-12-06,11367421.05263158,12700831.578947369,-0.1049860804804327
2019-12-09,11310105.263157895,12700831.578947369,-0.10949883928031239
2019-12-10,11444000.0,12700831.578947369,-0.09895663690483594
2019-12-11,11495526.315789474,12700831.578947369,-0.09489971232716632
2019-12-12,11604789.47368421,12700831.578947369,-0.08629687736982002
2019-12-13,11592105.263157895,12700831.578947369,-0.0872955687112075
2019-12-16,11601421.05263158,12700831.578947369,-0.08656209000819674
2019-12-17,11740526.315789474,12700831.578947369,-0.07560963683273123
2019-12-18,11771210.52631579,12700831.578947369,-0.07319371545501789
2019-12-19,11917631.578947369,12700831.578947369,-0.06166525358057781
2019-12-20,12075736.842105264,12700831.578947369,-0.04921683536676835
2019-12-23,12203000.0,12700831.578947369,-0.03919677037309621
2019-12-24,12146684.210526315,12700831.578947369,-0.04363079417095779
2019-12-25,12131105.263157895,12700831.578947369,-0.0448574026234503
2019-12-26,12274684.210526315,12700831.578947369,-0.03355271391264068
2019-12-27,12228052.631578948,12700831.578947369,-0.03722425137516894
2019-12-30,12273578.947368423,12700831.578947369,-0.03363973680960792
2020-01-06,12273421.05263158,12700831.578947369,-0.03365216865203192
2020-01-07,12391578.947368423,12700831.578947369,-0.024349006571471835
2020-01-08,12143000.0,12700831.578947369,-0.043920870494182356
2020-01-09,12479263.157894738,12700831.578947369,-0.017445190078726667
2020-01-10,12633578.947368423,12700831.578947369,-0.00529513608309105
2020-01-14,12874210.52631579,12874210.52631579,0.0
2020-01-15,12921368.421052633,12921368.421052633,0.0
2020-01-16,13233000.0,13233000.0,0.0
2020-01-17,13497000.0,13497000.0,0.0
2020-01-20,13832842.105263159,13832842.105263159,0.0
2020-01-21,14365368.421052633,14365368.421052633,0.0
2020-01-22,14870473.684210528,14870473.684210528,0.0
