date,estimated_capital,peak,drawdown
2018-02-22,19789052.66519643,19789052.66519643,0.0
2018-02-23,19803544.061082415,19803544.061082415,0.0
2018-02-26,19847018.248740386,19847018.248740386,0.0
2018-02-27,19861509.644626375,19861509.644626375,0.0
2018-02-28,19876001.040512364,19876001.040512364,0.0
2018-03-01,19890492.436398353,19890492.436398353,0.0
2018-03-02,19904983.83228434,19904983.83228434,0.0
2018-03-05,19948458.01994231,19948458.01994231,0.0
2018-03-06,19962949.4158283,19962949.4158283,0.0
2018-03-07,19977440.811714288,19977440.811714288,0.0
2018-03-08,19991932.207600277,19991932.207600277,0.0
2018-03-09,20006423.603486262,20006423.603486262,0.0
2018-03-12,20049897.79114423,20049897.79114423,0.0
2018-03-13,20064389.187030222,20064389.187030222,0.0
2018-03-14,20078880.58291621,20078880.58291621,0.0
2018-03-15,20093371.9788022,20093371.9788022,0.0
2018-03-16,20107863.374688186,20107863.374688186,0.0
2018-03-19,20151337.562346153,20151337.562346153,0.0
2018-03-20,20165828.958232142,20165828.958232142,0.0
2018-03-22,20194811.750004124,20194811.750004124,0.0
2018-03-23,20209303.145890113,20209303.145890113,0.0
2018-03-26,20252777.333548076,20252777.333548076,0.0
2018-03-27,20267268.729434066,20267268.729434066,0.0
2018-03-28,20281760.125320055,20281760.125320055,0.0
2018-03-29,20296251.521206044,20296251.521206044,0.0
2018-03-30,20310742.917092036,20310742.917092036,0.0
2018-04-02,20354217.10475,20354217.10475,0.0
2018-04-03,20368708.50063599,20368708.50063599,0.0
2018-04-04,20383199.896521978,20383199.896521978,0.0
2018-04-05,20397691.292407967,20397691.292407967,0.0
2018-04-06,20412182.688293956,20412182.688293956,0.0
2018-04-09,20455656.875951923,20455656.875951923,0.0
2018-04-10,20470148.271837912,20470148.271837912,0.0
2018-04-11,20484639.6677239,20484639.6677239,0.0
2018-04-12,20499131.06360989,20499131.06360989,0.0
2018-04-13,20513622.45949588,20513622.45949588,0.0
2018-04-16,20557096.647153847,20557096.647153847,0.0
2018-04-17,20571588.043039836,20571588.043039836,0.0
2018-04-18,20586079.438925825,20586079.438925825,0.0
2018-04-19,20600570.834811814,20600570.834811814,0.0
2018-04-20,20615062.230697803,20615062.230697803,0.0
2018-04-23,20658536.418355767,20658536.418355767,0.0
2018-04-24,20673027.81424176,20673027.81424176,0.0
2018-04-25,20687519.21012775,20687519.21012775,0.0
2018-04-26,20702010.606013738,20702010.606013738,0.0
2018-04-27,20716502.001899727,20716502.001899727,0.0
2018-05-01,20774467.58544368,20774467.58544368,0.0
2018-05-02,20788958.981329672,20788958.981329672,0.0
2018-05-07,20861415.960759617,20861415.960759617,0.0
2018-05-08,20875907.356645603,20875907.356645603,0.0
2018-05-09,20890398.75253159,20890398.75253159,0.0
2018-05-10,20904890.14841758,20904890.14841758,0.0
2018-05-11,20919381.544303574,20919381.544303574,0.0
2018-05-14,20962855.73196154,20962855.73196154,0.0
2018-05-15,20977347.127847526,20977347.127847526,0.0
2018-05-16,20991838.523733515,20991838.523733515,0.0
2018-05-17,21006329.919619504,21006329.919619504,0.0
2018-05-18,21020821.315505493,21020821.315505493,0.0
2018-05-21,21064295.503163464,21064295.503163464,0.0
2018-05-22,21078786.89904945,21078786.89904945,0.0
2018-05-23,21093278.29493544,21093278.29493544,0.0
2018-05-24,21107769.690821428,21107769.690821428,0.0
2018-05-25,21122261.086707417,21122261.086707417,0.0
2018-05-28,21165735.274365388,21165735.274365388,0.0
2018-05-29,21180226.670251373,21180226.670251373,0.0
2018-05-30,21194718.066137362,21194718.066137362,0.0
2018-05-31,21209209.46202335,21209209.46202335,0.0
2018-06-01,21223700.85790934,21223700.85790934,0.0
2018-06-04,21267175.04556731,21267175.04556731,0.0
2018-06-05,21281666.4414533,21281666.4414533,0.0
2018-06-06,21296157.83733929,21296157.83733929,0.0
2018-06-07,21310649.233225275,21310649.233225275,0.0
2018-06-08,21325140.629111264,21325140.629111264,0.0
2018-06-11,21368614.81676923,21368614.81676923,0.0
2018-06-12,21383106.212655216,21383106.212655216,0.0
2018-06-13,21397597.60854121,21397597.60854121,0.0
2018-06-14,21412089.0044272,21412089.0044272,0.0
2018-06-15,21426580.400313187,21426580.400313187,0.0
2018-06-18,21470054.587971155,21470054.587971155,0.0
2018-06-19,21484545.983857144,21484545.983857144,0.0
2018-06-20,21499037.379743133,21499037.379743133,0.0
2018-06-21,21513528.77562912,21513528.77562912,0.0
2018-06-22,21528020.17151511,21528020.17151511,0.0
2018-06-25,21571494.359173078,21571494.359173078,0.0
2018-06-26,21585985.755059067,21585985.755059067,0.0
2018-06-27,21600477.150945056,21600477.150945056,0.0
2018-06-28,21614968.54683104,21614968.54683104,0.0
2018-06-29,21629459.942717034,21629459.942717034,0.0
2018-07-02,21672934.130375,21672934.130375,0.0
2018-07-03,21687425.52626099,21687425.52626099,0.0
2018-07-04,21701916.92214698,21701916.92214698,0.0
2018-07-05,21716408.318032965,21716408.318032965,0.0
2018-07-06,21730899.713918954,21730899.713918954,0.0
2018-07-09,21774373.901576925,21774373.901576925,0.0
2018-07-10,21788865.297462914,21788865.297462914,0.0
2018-07-11,21803356.693348903,21803356.693348903,0.0
2018-07-12,21817848.08923489,21817848.08923489,0.0
2018-07-13,21832339.485120878,21832339.485120878,0.0
2018-07-17,21890305.068664838,21890305.068664838,0.0
2018-07-18,21904796.464550827,21904796.464550827,0.0
2018-07-19,21919287.860436812,21919287.860436812,0.0
2018-07-20,21933779.256322805,21933779.256322805,0.0
2018-07-23,21977253.44398077,21977253.44398077,0.0
2018-07-24,21991744.83986676,21991744.83986676,0.0
2018-07-25,22006236.23575275,22006236.23575275,0.0
2018-07-26,22020727.63163874,22020727.63163874,0.0
2018-07-27,22035219.02752473,22035219.02752473,0.0
2018-07-30,22078693.21518269,22078693.21518269,0.0
2018-07-31,22093184.61106868,22093184.61106868,0.0
2018-08-01,22107676.006954674,22107676.006954674,0.0
2018-08-02,22122167.402840663,22122167.402840663,0.0
2018-08-03,22136658.79872665,22136658.79872665,0.0
2018-08-06,22180132.986384615,22180132.986384615,0.0
2018-08-07,22194624.382270604,22194624.382270604,0.0
2018-08-08,22209115.778156593,22209115.778156593,0.0
2018-08-09,22223607.174042583,22223607.174042583,0.0
2018-08-10,22238098.569928575,22238098.569928575,0.0
2018-08-13,22281572.75758654,22281572.75758654,0.0
2018-08-14,22296064.153472528,22296064.153472528,0.0
2018-08-15,22310555.549358517,22310555.549358517,0.0
2018-08-16,22325046.945244506,22325046.945244506,0.0
2018-08-17,22339538.341130495,22339538.341130495,0.0
2018-08-20,22383012.528788462,22383012.528788462,0.0
2018-08-21,22397503.92467445,22397503.92467445,0.0
2018-08-22,22411995.32056044,22411995.32056044,0.0
2018-08-23,22426486.71644643,22426486.71644643,0.0
2018-08-24,22440978.11233242,22440978.11233242,0.0
2018-08-27,22484452.299990386,22484452.299990386,0.0
2018-08-28,22498943.695876375,22498943.695876375,0.0
2018-08-29,22513435.091762364,22513435.091762364,0.0
2018-08-30,22527926.487648353,22527926.487648353,0.0
2018-08-31,22542417.883534342,22542417.883534342,0.0
2018-09-03,22585892.071192306,22585892.071192306,0.0
2018-09-04,22600383.4670783,22600383.4670783,0.0
2018-09-05,22614874.862964287,22614874.862964287,0.0
2018-09-06,22629366.258850276,22629366.258850276,0.0
2018-09-07,22643857.654736266,22643857.654736266,0.0
2018-09-10,22687331.84239423,22687331.84239423,0.0
2018-09-11,22701823.238280218,22701823.238280218,0.0
2018-09-12,22716314.63416621,22716314.63416621,0.0
2018-09-13,22730806.0300522,22730806.0300522,0.0
2018-09-14,22745297.42593819,22745297.42593819,0.0
2018-09-18,22803263.00948214,22803263.00948214,0.0
2018-09-19,22817754.40536813,22817754.40536813,0.0
2018-09-20,22832245.801254123,22832245.801254123,0.0
2018-09-21,22846737.197140113,22846737.197140113,0.0
2018-09-25,22904702.780684065,22904702.780684065,0.0
2018-09-26,22919194.176570054,22919194.176570054,0.0
2018-09-27,22933685.572456043,22933685.572456043,0.0
2018-09-28,22948176.968342032,22948176.968342032,0.0
2018-10-01,22991651.156,22991651.156,0.0
2018-10-02,22983781.484767124,22991651.156,-0.0003422838655422855
2018-10-03,22975911.813534245,22991651.156,-0.000684567731084733
2018-10-04,22968042.14230137,22991651.156,-0.0010268515966270185
2018-10-05,22960172.471068494,22991651.156,-0.001369135462169304
2018-10-09,22928693.786136985,22991651.156,-0.00273827092433877
2018-10-10,22920824.11490411,22991651.156,-0.0030805547898810556
2018-10-11,22912954.443671234,22991651.156,-0.003422838655423341
2018-10-12,22905084.772438355,22991651.156,-0.0037651225209657884
2018-10-15,22881475.758739725,22991651.156,-0.004791974117592807
2018-10-16,22873606.08750685,22991651.156,-0.005134257983135092
2018-10-17,22865736.416273974,22991651.156,-0.005476541848677378
2018-10-18,22857866.745041095,22991651.156,-0.005818825714219825
2018-10-19,22849997.07380822,22991651.156,-0.006161109579762111
2018-10-22,22826388.06010959,22991651.156,-0.0071879611763891295
2018-10-23,22818518.388876714,22991651.156,-0.007530245041931415
2018-10-24,22810648.717643835,22991651.156,-0.007872528907473862
2018-10-25,22802779.04641096,22991651.156,-0.008214812773016148
2018-10-26,22794909.37517808,22991651.156,-0.008557096638558595
2018-10-29,22771300.36147945,22991651.156,-0.009583948235185614
2018-10-30,22763430.690246575,22991651.156,-0.0099262321007279
2018-10-31,22755561.0190137,22991651.156,-0.010268515966270184
2018-11-01,22747691.34778082,22991651.156,-0.010610799831812633
2018-11-02,22739821.676547945,22991651.156,-0.010953083697354917
2018-11-05,22716212.662849315,22991651.156,-0.011979935293981937
2018-11-06,22708342.99161644,22991651.156,-0.012322219159524223
2018-11-07,22700473.32038356,22991651.156,-0.01266450302506667
2018-11-08,22692603.649150684,22991651.156,-0.013006786890608956
2018-11-09,22684733.977917805,22991651.156,-0.013349070756151403
2018-11-12,22661124.96421918,22991651.156,-0.014375922352778259
2018-11-13,22653255.2929863,22991651.156,-0.014718206218320706
2018-11-14,22645385.621753424,22991651.156,-0.015060490083862992
2018-11-15,22637515.950520545,22991651.156,-0.01540277394940544
