Code,FCF,CashEq,EquityRatio,MarketCap,CapGroup,TheoreticalValue,ValuationGap,CashRatio,FCFYield
80780,42109000000.0,77907000000.0,0.3508463104478987,101680500000.0,Mid,498997000000.0,3.907499471383402,0.7661941080148111,0.4141305363368591
79840,18975000000.0,110606000000.0,0.719499898605259,61263022000.0,Mid,300356000000.0,3.902729088356105,1.80542840345029,0.3097300684905815
63710,24665000000.0,61890000000.0,0.6965039724610934,63120420000.0,Mid,308540000000.0,3.8881170309069555,0.9805067837001085,0.3907610247206847
75450,9689000000.0,73589000000.0,0.6043075492093818,34940610000.0,Mid,170479000000.0,3.8791077202143867,2.1061166362006847,0.27729910840137023
64740,23224000000.0,29357000000.0,0.5259662838255935,53742250000.0,Mid,261597000000.0,3.8676227735161812,0.5462555066079295,0.4321367266908252
74580,25415000000.0,26387000000.0,0.5907113771742312,57879900000.0,Mid,280537000000.0,3.846881214376666,0.4558922873052649,0.43909889270714014
82830,10816000000.0,66110000000.0,0.5511751521915398,35990280000.0,Mid,174270000000.0,3.842140711325391,1.8368848477977944,0.30052558635275967
62660,12528000000.0,13946000000.0,0.5765679312477342,28794220000.0,Mid,139226000000.0,3.835206510195449,0.48433331411651365,0.43508731960789354
19790,18590000000.0,63265000000.0,0.5687257499230752,51538800000.0,Mid,249165000000.0,3.834513027078628,1.2275217894091441,0.3606991237669484
31010,44610000000.0,25459000000.0,0.3851452663352855,97753870000.0,Mid,471559000000.0,3.823942008638635,0.2604398168584016,0.4563502191780233
26810,11798000000.0,74283000000.0,0.33995316433036316,39869220000.0,Mid,192263000000.0,3.822341646011635,1.863166623274797,0.2959175022736838
86220,9331000000.0,31760000000.0,0.5484263959390863,26176320000.0,Mid,125070000000.0,3.777982543000697,1.2133103507292087,0.3564672192271488
74510,24121000000.0,102800000000.0,0.28235716045735487,72123300000.0,Mid,344010000000.0,3.7697484724076684,1.4253368883564674,0.3344411584051201
31670,18854000000.0,3890000000.0,0.4727585263147786,40472400000.0,Mid,192430000000.0,3.754598195313349,0.09611488322906475,0.46584833120842845
89580,20876000000.0,20423000000.0,0.5061146078208336,48317760000.0,Mid,229183000000.0,3.743245547806852,0.4226810183253528,0.4320564529481499
90450,37264000000.0,13358000000.0,0.37040840113485823,81581040000.0,Mid,385998000000.0,3.731467017336381,0.16373902563634884,0.45677279917000324
89550,53318000000.0,28327000000.0,0.507014266696763,120584400000.0,Mid,561507000000.0,3.6565476131240855,0.234914300688978,0.44216333124351076
52320,24933000000.0,14935000000.0,0.5431403020578532,57427880000.0,Mid,264265000000.0,3.601684756602542,0.26006532018942713,0.4341619436413115
30970,25793000000.0,12338000000.0,0.5452678788533758,58849000000.0,Mid,270268000000.0,3.5925674183078726,0.2096552192900474,0.43829121990178255
